,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
47,frozenset({40}),frozenset({41}),0.04783342712436691,0.08947664603263927,0.04614518851997749,0.9647058823529412,10.781650018497967,0.041865213892642465,25.798161695741896
56,"frozenset({41, 35})",frozenset({19}),0.04670793472144063,0.1654473832301632,0.04501969611705121,0.963855421686747,5.825751987542005,0.037291990541303575,23.08928906396548
49,"frozenset({33, 19})",frozenset({35}),0.04839617332583005,0.10073157006190209,0.04220596510973551,0.872093023255814,8.657593867740678,0.037330942585636705,7.030644088606947
40,frozenset({36}),frozenset({34}),0.05908835115362971,0.23579065841305571,0.050647158131682614,0.8571428571428572,3.635185816570065,0.036714676908626426,5.3494653911086125
20,frozenset({35}),frozenset({19}),0.10073157006190209,0.1654473832301632,0.0827236916150816,0.8212290502793296,4.9636871508379885,0.06605791693967406,4.668278700056274
0,frozenset({2}),frozenset({10}),0.051209904333145755,0.07878446820483961,0.04108047270680923,0.8021978021978021,10.182182103610675,0.03704592762710163,4.6572562996310864
3,frozenset({7}),frozenset({34}),0.07765897580191333,0.23579065841305571,0.061902082160945414,0.7971014492753624,3.3805471965687803,0.04359082112492871,3.766460326392799
22,frozenset({41}),frozenset({19}),0.08947664603263927,0.1654473832301632,0.06584130557118739,0.7358490566037736,4.447631882941856,0.05103762862487566,3.1593777634858116
50,"frozenset({33, 35})",frozenset({19}),0.057962858750703436,0.1654473832301632,0.04220596510973551,0.7281553398058253,4.401129383792352,0.03261616180489206,3.0699614116890426
7,frozenset({13}),frozenset({50}),0.07034327518289252,0.12042768711311198,0.051209904333145755,0.728,6.045121495327103,0.04273862639890884,3.2337217385547348
36,frozenset({33}),frozenset({35}),0.08441193021947102,0.10073157006190209,0.057962858750703436,0.6866666666666666,6.816797020484171,0.0494599124877404,2.8700056274620147
57,"frozenset({41, 19})",frozenset({35}),0.06584130557118739,0.10073157006190209,0.04501969611705121,0.6837606837606838,6.787948240462207,0.03838739803194004,2.843632602777229
5,frozenset({13}),frozenset({34}),0.07034327518289252,0.23579065841305571,0.04783342712436691,0.6799999999999999,2.8839140811455843,0.03124713995406192,2.3881541924592007
32,frozenset({25}),frozenset({28}),0.07765897580191333,0.07878446820483961,0.051209904333145755,0.6594202898550725,8.369927536231884,0.045091583223259506,2.704845603994301
33,frozenset({28}),frozenset({25}),0.07878446820483961,0.07765897580191333,0.051209904333145755,0.65,8.369927536231884,0.045091583223259506,2.6352600691373906
44,frozenset({50}),frozenset({34}),0.12042768711311198,0.23579065841305571,0.07822172200337647,0.6495327102803738,2.7547007784444495,0.04982599836781433,2.180543987994748
42,frozenset({48}),frozenset({34}),0.0686550365785031,0.23579065841305571,0.04445694991558807,0.6475409836065574,2.746253765796784,0.028268733637370404,2.1682218528745865
31,frozenset({48}),frozenset({24}),0.0686550365785031,0.12099043331457512,0.04108047270680923,0.5983606557377049,4.945520396492566,0.03277387008194813,2.188554431339221
37,frozenset({35}),frozenset({33}),0.10073157006190209,0.08441193021947102,0.057962858750703436,0.5754189944134078,6.816797020484171,0.0494599124877404,2.1564508485620353
16,frozenset({33}),frozenset({19}),0.08441193021947102,0.1654473832301632,0.04839617332583005,0.5733333333333334,3.4653514739229028,0.03443044035761143,1.9559826955543052
55,"frozenset({19, 35})",frozenset({41}),0.0827236916150816,0.08947664603263927,0.04501969611705121,0.5442176870748299,6.082231634792281,0.037617857643895344,1.9977154184060002
45,frozenset({41}),frozenset({35}),0.08947664603263927,0.10073157006190209,0.04670793472144063,0.5220125786163522,5.182214258107585,0.037694811682699815,1.8813642152652312
1,frozenset({10}),frozenset({2}),0.07878446820483961,0.051209904333145755,0.04108047270680923,0.5214285714285715,10.182182103610675,0.03704592762710163,1.982546468557606
48,frozenset({41}),frozenset({40}),0.08947664603263927,0.04783342712436691,0.04614518851997749,0.5157232704402516,10.781650018497965,0.041865213892642465,1.9661621439899437
51,"frozenset({35, 19})",frozenset({33}),0.0827236916150816,0.08441193021947102,0.04220596510973551,0.5102040816326531,6.04421768707483,0.035223098625626205,1.86932564246858
60,frozenset({41}),"frozenset({19, 35})",0.08947664603263927,0.0827236916150816,0.04501969611705121,0.5031446540880503,6.082231634792282,0.037617857643895344,1.8461637092810381
21,frozenset({19}),frozenset({35}),0.1654473832301632,0.10073157006190209,0.0827236916150816,0.5,4.9636871508379885,0.06605791693967406,1.798536859876196
52,frozenset({33}),"frozenset({35, 19})",0.08441193021947102,0.0827236916150816,0.04220596510973551,0.5,6.04421768707483,0.035223098625626205,1.8345526167698367
46,frozenset({35}),frozenset({41}),0.10073157006190209,0.08947664603263927,0.04670793472144063,0.4636871508379888,5.182214258107586,0.037694811682699815,1.6977466704183077
26,frozenset({24}),frozenset({29}),0.12099043331457512,0.176702307259426,0.05571187394485087,0.4604651162790698,2.6058806102799585,0.034332585221847726,1.5259396891312365
41,frozenset({41}),frozenset({34}),0.08947664603263927,0.23579065841305571,0.04108047270680923,0.4591194968553459,1.9471487969258943,0.019982715426181286,1.4128986664223737
10,frozenset({27}),frozenset({15}),0.12324141812042769,0.17501406865503658,0.05514912774338773,0.4474885844748859,2.5568720727069847,0.03358014573131513,1.493156355078901
58,frozenset({35}),"frozenset({41, 19})",0.10073157006190209,0.06584130557118739,0.04501969611705121,0.44692737430167595,6.787948240462207,0.03838739803194004,1.6890344070985601
28,frozenset({24}),frozenset({34}),0.12099043331457512,0.23579065841305571,0.05233539673607203,0.4325581395348837,1.8345007492923349,0.02380698280314745,1.3467623642720739
6,frozenset({50}),frozenset({13}),0.12042768711311198,0.07034327518289252,0.051209904333145755,0.42523364485981313,6.045121495327104,0.04273862639890884,1.6174515374866747
54,frozenset({35}),"frozenset({33, 19})",0.10073157006190209,0.04839617332583005,0.04220596510973551,0.41899441340782123,8.657593867740678,0.037330942585636705,1.6378565862949654
24,frozenset({50}),frozenset({19}),0.12042768711311198,0.1654473832301632,0.04895891952729319,0.4065420560747664,2.45722868586687,0.02903447382596797,1.40625401565941
38,frozenset({35}),frozenset({34}),0.10073157006190209,0.23579065841305571,0.04051772650534609,0.40223463687150834,1.7058972547032705,0.016766163277469343,1.2784436648977855
23,frozenset({19}),frozenset({41}),0.1654473832301632,0.08947664603263927,0.06584130557118739,0.3979591836734694,4.447631882941856,0.05103762862487566,1.5123947235390058
19,frozenset({19}),frozenset({34}),0.1654473832301632,0.23579065841305571,0.06471581316826111,0.391156462585034,1.6589141623236405,0.02570486574370378,1.2551818236120762
34,frozenset({27}),frozenset({34}),0.12324141812042769,0.23579065841305571,0.04333145751266179,0.35159817351598177,1.491145475746777,0.014272282390287452,1.1786045479404283
30,frozenset({24}),frozenset({48}),0.12099043331457512,0.0686550365785031,0.04108047270680923,0.3395348837209302,4.945520396492565,0.03277387008194813,1.4101349798283227
43,frozenset({34}),frozenset({50}),0.23579065841305571,0.12042768711311198,0.07822172200337647,0.3317422434367542,2.7547007784444495,0.04982599836781433,1.3162171396414502
14,frozenset({27}),frozenset({19}),0.12324141812042769,0.1654473832301632,0.04051772650534609,0.3287671232876712,1.9871400615040535,0.02012775637174691,1.2433130821264915
27,frozenset({29}),frozenset({24}),0.176702307259426,0.12099043331457512,0.05571187394485087,0.31528662420382164,2.6058806102799585,0.034332585221847726,1.2837628090196438
11,frozenset({15}),frozenset({27}),0.17501406865503658,0.12324141812042769,0.05514912774338773,0.31511254019292606,2.5568720727069847,0.03358014573131513,1.2801498542936478
25,frozenset({19}),frozenset({50}),0.1654473832301632,0.12042768711311198,0.04895891952729319,0.29591836734693877,2.45722868586687,0.02903447382596797,1.24924763279587
13,frozenset({15}),frozenset({29}),0.17501406865503658,0.176702307259426,0.05177265053460889,0.2958199356913183,1.674114731603416,0.020847260800404336,1.169157910695518
12,frozenset({29}),frozenset({15}),0.176702307259426,0.17501406865503658,0.05177265053460889,0.29299363057324834,1.6741147316034157,0.020847260800404336,1.1668719929834166
17,frozenset({19}),frozenset({33}),0.1654473832301632,0.08441193021947102,0.04839617332583005,0.2925170068027211,3.4653514739229023,0.03443044035761143,1.294148521709017
18,frozenset({34}),frozenset({19}),0.23579065841305571,0.1654473832301632,0.06471581316826111,0.2744630071599045,1.6589141623236405,0.02570486574370378,1.1502550869294792
59,frozenset({19}),"frozenset({41, 35})",0.1654473832301632,0.04670793472144063,0.04501969611705121,0.27210884353741494,5.825751987542004,0.037291990541303575,1.3096629308032544
8,frozenset({19}),frozenset({15}),0.1654473832301632,0.17501406865503658,0.04445694991558807,0.2687074829931973,1.5353479012183653,0.015501330228148143,1.1281202968159034
35,frozenset({29}),frozenset({34}),0.176702307259426,0.23579065841305571,0.04670793472144063,0.2643312101910828,1.1210419105239955,0.005043181349634496,1.038795382070565
2,frozenset({34}),frozenset({7}),0.23579065841305571,0.07765897580191333,0.061902082160945414,0.26252983293556087,3.3805471965687803,0.04359082112492871,1.250682489122972
53,frozenset({19}),"frozenset({33, 35})",0.1654473832301632,0.057962858750703436,0.04220596510973551,0.25510204081632654,4.401129383792352,0.03261616180489206,1.2646526005812475
9,frozenset({15}),frozenset({19}),0.17501406865503658,0.1654473832301632,0.04445694991558807,0.2540192926045016,1.5353479012183653,0.015501330228148143,1.1187321716181864
15,frozenset({19}),frozenset({27}),0.1654473832301632,0.12324141812042769,0.04051772650534609,0.24489795918367346,1.9871400615040535,0.02012775637174691,1.1611127165432176
29,frozenset({34}),frozenset({24}),0.23579065841305571,0.12099043331457512,0.05233539673607203,0.22195704057279234,1.8345007492923349,0.02380698280314745,1.1297699645435368
39,frozenset({34}),frozenset({36}),0.23579065841305571,0.05908835115362971,0.050647158131682614,0.21479713603818618,3.6351858165700652,0.036714676908626426,1.1983038932116388
4,frozenset({34}),frozenset({13}),0.23579065841305571,0.07034327518289252,0.04783342712436691,0.20286396181384247,2.8839140811455843,0.03124713995406192,1.1662460110729582
